Pollster,Source,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,,# of Polls for Bias Analysis,Bias,House Effect,,Average Distance from Polling Average (ADPA),Herding Penalty,Latest Poll
423,Strategy Research,322,1,no,no,IVR,no,,1.5,C/D,R +0.4,,0%,100%,8.7,3.1,5.7,,5.5,0.2,,1,R +8.7,R +4.7,,3.8,0,12/4/2017
424,GaPundit.com,111,2,no,no,IVR,no,,1.5,C/D,D +0.6,,25%,100%,8.3,4.4,4,,4,0.3,,2,D +8.3,D +3.1,,,0,10/14/2014
425,Lucid,175,25,no,no,Online,no,,1.6,D+,D +1.9,,88%,32%,4.1,4,0.3,,1.6,0.8,,25,D +3.8,D +2.3,,3.8,0,10/25/2018
426,Target Insyght,330,6,no,partial,IVR/Live,no,,1.6,C/D,R +0.6,,75%,33%,10.4,6.6,4,,3.8,0.8,,4,R +3.9,R +3.7,,12.2,0,3/8/2020
427,Baldwin Wallace Univ.,401,2,no,no,Online,no,,1.6,C/D,D +0.7,,50%,50%,8.3,4.5,4,,4.1,0.4,,2,D +8.3,D +3.5,,,0,10/23/2018
428,Brown University,35,12,no,yes,Live,no,,1.6,C/D,R +0.3,,83%,67%,11.4,7.4,4.1,,4.7,1.2,,7,R +2.2,R +0.1,,4.9,0.31,4/20/2016
429,University of Colorado,580,2,no,no,Online,no,,1.6,C/D,D +0.5,,100%,50%,6.7,4.4,2.5,,5,0.4,,2,D +6.7,D +7.3,,,0,10/21/2016
430,Opinion Research Associates,242,14,no,yes,Live,no,,1.6,C/D,D +2.0,,61%,43%,9.3,6,3.4,,5,1.3,,14,D +7.7,D +6.5,,8.7,0,10/31/2014
431,BWD Global,527,2,no,no,IVR,no,,1.6,C/D,R +0.1,,100%,50%,13.5,6.2,7.5,,5.3,0.4,,1,R +4.4,R +5.3,,,0,5/26/2016
432,Google Surveys,122,24,yes,no,Online,no,,1.6,D+,R +0.1,,92%,38%,5.3,3.4,2.1,,3,1.4,,24,R +0.2,R +0.7,,3.6,0,11/4/2016
433,Targoz Market Research,454,7,no,no,Online,no,,1.7,C/D,D +1.6,,93%,43%,7.3,6.1,1.4,,2.3,0.6,,7,D +6.1,D +4.3,,5.1,0.16,11/10/2019
434,OurProgress (The Progress Campaign),561,2,no,no,Online/Text,yes,,1.7,F,,,100%,100%,14.6,8.8,5.9,,3.2,0.3,,0,,,,0.5,1.42,3/5/2020
435,Saguaro Strategies,298,2,no,no,Online,no,,1.7,C/D,D +0.4,,0%,100%,5,2.9,2.2,,4.9,0.4,,2,D +5.0,D +4.0,,2.4,0.89,10/30/2016
436,Elucd,549,4,no,no,Online,no,,1.7,C/D,,,50%,75%,12.9,7.8,5.4,,3.2,0.6,,0,,,,4,0,2/28/2020
437,Baydoun Consulting,25,6,no,no,IVR,no,,1.8,C/D,R +1.0,,83%,67%,6.8,5.2,1.8,,3.9,0.6,,4,R +8.8,R +6.7,,7.9,0,11/2/2012
438,CPEC,38,2,no,no,IVR,no,,1.8,C/D,,,100%,100%,15.8,8.4,7.6,,6.9,0.5,,0,,,,11.2,0,4/23/2016
439,Zia Poll,393,3,no,no,IVR,no,,1.8,C/D,R +0.5,,100%,33%,4.9,2.5,2.5,,5.3,0.6,,3,R +4.9,R +3.3,,5.9,0,11/6/2016
440,Glascock Group,116,2,no,no,IVR,no,,1.9,C/D,D +0.2,,50%,100%,15.5,5.1,10.6,,9.6,0.6,,2,D +3.4,D +20.0,,20,0,12/2/2014
441,Point Blank Political,550,6,no,no,Online/Text,no,,1.9,C/D,,,83%,83%,10.7,7.5,3.3,,3.4,0.9,,0,,,,9.4,0,3/12/2020
442,TP Research,452,2,no,no,IVR,no,,2,C/D,R +1.4,,0%,100%,15.6,6.3,9.5,,7.9,0.7,,2,R +15.6,R +8.3,,7.1,0.37,10/31/2018
443,Carroll Strategies,450,5,no,no,IVR,no,,2,C/D,R +1.9,,80%,60%,9.9,5.5,4.6,,3.6,0.7,,5,R +9.9,R +1.7,,4.5,0.92,11/1/2018
444,Dane & Associates,71,2,no,no,IVR,no,,2,C/D,R +0.9,,50%,100%,21.2,3.9,17.5,,15.2,0.7,,2,R +21.2,R +10.5,,3,0.79,10/28/2008
445,Brigham Young University,34,4,no,no,Online,no,,2.2,C/D,D +2.1,,75%,75%,16.5,8.7,8,,8.1,1,,4,D +16.5,D +16.5,,,0,10/19/2014
446,Swayable,543,22,no,no,Online,no,,2.2,D-,,,77%,68%,12,7.8,4.4,,2.8,1.5,,0,,,,10.2,0,3/16/2020
447,Fort Hays State University,101,6,no,yes,Live,no,,2.3,C/D,R +1.4,,67%,50%,22.1,9,13.3,,9.5,1.9,,2,R +18.8,R +27.7,,28.3,0,11/2/2016
448,St. Leo University,299,6,no,no,Online,no,,2.5,C/D,D +1.8,,33%,67%,8.5,4.9,3.8,,6.9,1.4,,6,D +8.5,D +6.5,,8,0,10/19/2018
449,Axios / SurveyMonkey,324,210,no,no,Online,no,,2.6,D-,D +5.0,,84%,54%,7.1,4.4,2.9,,2.3,2.1,,197,D +5.6,D +2.9,,5.5,0,10/15/2019
450,Nielson Brothers Polling,231,9,no,no,IVR,no,,3,C/D,D +2.9,,89%,67%,12.2,5.1,7.3,,8,1.9,,9,D +12.2,D +9.9,,8.2,0,10/25/2016
451,TCJ Research,327,132,no,no,IVR,yes,,3,F,R +4.4,,60%,49%,6.4,4.5,2.1,,3,2.4,,124,R +5.6,R +3.5,,4.4,0,11/5/2012
452,Humphrey Institute,143,12,no,no,Landline,no,,3,C/D,D +0.6,,33%,50%,17.9,6.5,11.6,,9.2,1.9,,8,D +3.8,D +3.0,,5.5,0,10/23/2010
453,Jayhawk Consulting,157,2,no,no,Landline,no,,3.4,C/D,D +3.0,,50%,100%,37.6,5.8,32,,26.9,2.1,,2,D +37.6,D +10.9,,,0,10/23/2018
